row_id,price,spec_general_marque,spec_general_type_produit,spec_general_reference,spec_informations_impedance_nominale,spec_forme_materiaux_systeme_magnetique,spec_forme_materiaux_forme_facade,spec_parametres_petits_signaux_qts,spec_parametres_petits_signaux_qes,spec_parametres_petits_signaux_qms,spec_forme_materiaux_materiau_saladier,spec_forme_materiaux_materiau_suspension,spec_forme_materiaux_support_bobine,spec_forme_materiaux_fil_bobine,spec_forme_materiaux_materiau_dome,spec_informations_puissance_nominale_w,spec_informations_sensibilite_fabricant_db,spec_parametres_petits_signaux_fs_hz,spec_donnees_poids_kg,spec_parametres_fondamentaux_re_ohm,spec_donnees_xmax_mm,spec_parametres_fondamentaux_mms_gr,spec_donnees_ebp_hz,spec_parametres_petits_signaux_vas_l,spec_donnees_rendement_calcule_pct,spec_parametres_fondamentaux_le_mh,spec_parametres_fondamentaux_sd_cm2,spec_parametres_fondamentaux_bl_t_m,spec_dimensions_diametre_systeme_magnetique_mm,spec_informations_puissance_max_w,spec_dimensions_hauteur_entrefer_mm,spec_dimensions_hauteur_bobinage_mm,spec_donnees_rendement_pct
1,63.0,Audax,Haut parleur a cone,HT170G8,8+8 ohm,Ferrite,Non cylindrique,0.49,0.55,4.93,Acier,,Aluminium,,,50.0,90.0,45.0,1.3,3.5,3.5,17.4,82.0,19.9,0.32,0.49,136.0,5.5,85.8,,5.0,12.0,
2,294.0,Audax,Haut parleur bicone,AM21LB25ALBC,6 ohm,Ferrite,Non cylindrique,0.4,0.42,7.14,Zamak,Tissu,Nomex,CCAW (alu recouvert de cuivre),,35.0,95.0,43.0,2.7,5.55,2.25,13.63,102.0,65.0,1.19,0.34,214.0,6.96,110.0,,5.0,9.5,
3,77.0,Audax,Haut parleur a cone,HM130Z0,8 ohm,Ferrite,Non cylindrique,0.31,0.32,12.16,Zamak,Caoutchouc,Kapton,Cuivre,,50.0,92.0,68.0,1.2,6.4,2.0,5.9,213.0,8.3,0.79,0.22,80.0,7.1,85.8,,5.0,9.0,
4,93.0,Audax,Haut parleur a cone,HM130Z4,8+8 ohm,Ferrite,Non cylindrique,0.23,0.24,5.2,Zamak,,Kapton,Cuivre,,50.0,91.0,46.0,1.2,3.0,3.25,10.4,192.0,10.2,0.4,0.3,80.0,6.2,85.8,,5.0,11.5,
5,102.0,Audax,Haut parleur a cone,HM170Z0,8 ohm,Ferrite,Cylindrique,0.4,0.42,6.15,Zamak,Caoutchouc,Kapton,Cuivre,,60.0,91.0,40.0,,6.2,3.75,9.9,95.0,45.3,0.67,0.34,138.0,6.0,86.1,,5.0,12.5,
6,137.0,Audax,Haut parleur a cone,HM210C0,8 ohm,Ferrite,Cylindrique,0.39,0.42,5.17,Zamak,Caoutchouc,Kapton,Cuivre,Polymere,70.0,90.0,31.0,2.3,6.5,4.15,23.5,74.0,83.0,0.57,0.42,232.0,8.5,102.5,,6.0,14.3,
7,127.0,Audax,Haut parleur a cone,HM210Z10,8 ohm,Ferrite,Cylindrique,0.6,0.73,3.48,Zamak,Tissu + Caoutchouc,,Cuivre,,120.0,99.0,170.0,2.4,5.5,1.5,12.2,233.0,5.0,3.24,0.64,252.0,10.2,124.6,,6.0,9.0,
8,47.0,Audax,Haut parleur a cone,HP130G0,6 ohm,Ferrite,Cylindrique,0.38,0.5,1.49,Plastique,Caoutchouc,Aluminium,,,40.0,87.8,54.9,0.65,5.2,3.0,6.74,110.0,12.16,0.39,0.37,83.32,4.73,73.5,,,10.0,
9,60.0,Audax,Haut parleur a cone,HT170G2,8 ohm,Ferrite,Non cylindrique,0.41,0.47,3.24,Acier,Caoutchouc,Aluminium,,,60.0,90.0,40.0,,5.2,3.5,10.9,85.0,39.0,0.51,0.42,139.0,5.5,85.8,,5.0,12.0,
10,111.0,Audax,Haut parleur a cone,HT240G0,4 ohm,Ferrite,Cylindrique,0.67,0.72,10.01,Acier,,Kapton,Cuivre,,160.0,92.0,48.9,,2.9,7.0,43.5,68.0,35.82,0.56,0.67,323.6,7.36,123.0,,6.0,20.0,
