wine,type_id,winery,global_rating,global_rating_count,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Margaux (Grand Cru Classé),1,Château Dauzac,4.1,16745,1989,4.3,146,65.0,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,1,Domaine Roses Camille,4.5,69,2007,4.5,69,311.89,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Côtes du Rhône Villages Terre D'Argile,1,Domaine de la Janasse,3.9,6647,2021,3.9,378,22.56,3.5,4.0,1.0,3.5,cotes-de-rhone-villages,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Margaux (Grand Cru Classé),1,Château Rauzan-Ségla,4.3,24363,2020,4.2,183,183.73,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Bourgogne Passetoutgrains,1,Jean-Claude Ramonet,3.7,566,2021,3.7,58,59.28,4.0,2.5,1.0,2.0,bourgogne-passe-tout-grains,"[(14, 'pinot-noir')]"
Jean Pull,1,Domaine des Soulanes,3.7,581,2024,3.7,581,15.9,4.0,4.0,1.0,4.0,cotes-catalanes,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Chambertin Grand Cru,1,Maison Henri Boillot,4.1,119,2018,4.1,119,399.0,4.5,3.0,1.0,2.5,chambertin,"[(14, 'pinot-noir')]"
Les Carrétals,1,Domaine Anne Gros & Jean-Paul Tollot,4.0,1304,2018,4.1,86,56.06,4.0,4.0,1.0,4.0,minervois,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
La Fourvieille  Puisseguin-Saint-Émilion,1,Château Guibot,3.9,1034,2011,3.9,72,43.92,3.5,4.5,1.0,4.0,puisseguin-saint-emilion,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Enfin ! Pic-Saint-Loup Rouge,1,Domaine de la Triballe,4.3,129,2020,4.2,37,33.35,4.0,4.0,1.0,4.0,pic-saint-loup,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Grands-Échézeaux Grand Cru,1,Louis Jadot,4.5,796,2023,4.5,796,355.8,4.5,3.0,1.0,2.5,grands-echezeaux,"[(14, 'pinot-noir')]"
Pauillac (Premier Grand Cru Classé),1,Château Mouton Rothschild,4.6,87189,1988,4.5,2714,335.0,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
