wine,winery,vintage_year,vintage_rating,vintage_rating_count,price_availability,structure_acidity,structure_intensity,structure_sweetness,structure_tannin,region,grapes
Margaux,Château Rauzan-Gassies,1993.0,3.9,33,72.0,4.5,4.0,1.0,4.5,margaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Estephe,Cos d'Estournel,2005.0,4.2,171,404.0,4.5,4.5,1.0,5.0,saint-estephe,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Authentique Côtes du Roussillon Rouge,Domaine Lafage,2023.0,3.9,70,8.85,4.0,4.0,1.0,4.0,cotes-du-roussillon,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Mercurey 1er Cru 'Les Naugues',Domaine François Raquillet,2019.0,4.0,25,36.0,4.0,2.0,1.0,2.0,mercurey-les-naugues,"[(14, 'pinot-noir')]"
Châteauneuf-du-Pape La Cuvée du Papet,Clos du Mont-Olivet,2016.0,4.2,138,69.5,3.0,5.0,1.0,3.0,chateauneuf-du-pape,"[(1, 'shiraz-syrah'), (22, 'mourvedre'), (32, 'counoise'), (614, 'cinsaut'), (677, 'vaccareze'), (678, 'muscardin')]"
Saint-Émilion Grand Cru (Grand Cru Classé),Château Grand Corbin-Despagne,1983.0,3.8,40,58.0,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Quintessence de Peybonhomme Côtes de Blaye,Château Peybonhomme Les Tours,2021.0,3.9,33,19.25,4.0,4.0,1.0,4.0,blaye-cotes-de-bordeaux,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Blason d'Aussieres Languedoc,Barons de Rothschild (Lafite),2019.0,4.0,32,14.9,4.0,4.0,1.0,4.0,languedoc,"[(1, 'shiraz-syrah'), (8, 'grenache-noir'), (22, 'mourvedre')]"
Vieilles Vignes Santenay,Lucien Muzard & Fils,2020.0,4.0,239,29.76,4.0,2.5,1.0,2.0,santenay,"[(14, 'pinot-noir')]"
Pomerol,Château La Fleur-Pétrus,1974.0,4.5,15089,395.0,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Beausejour (héritiers Duffau-Lagarrosse),1998.0,4.1,183,296.11,3.5,4.5,1.0,4.0,st-emilion-grand-cru,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pomerol,Château Fayat,2019.0,4.0,166,26.5,3.5,4.5,1.0,4.0,pomerol,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Clos-Saint-Denis Grand Cru,Georges Lignier et Fils,2003.0,4.2,931,234.0,4.5,3.0,1.0,2.5,clos-saint-denis,"[(14, 'pinot-noir')]"
Cuvée Pierre de Cartier Bordeaux Supérieur,Château Couronneau,2020.0,3.9,331,30.69,4.0,4.0,1.0,4.0,bordeaux-superieur,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
Pauillac de Latour,Château Latour,2015.0,4.3,1380,112.5,4.5,4.5,1.0,5.0,pauillac,"[(2, 'cabernet-sauvignon'), (3, 'cabernet-franc'), (9, 'malbec'), (10, 'merlot'), (42, 'petit-verdot'), (51, 'carmenere')]"
(N) 45°30.506 (E) 6°04.451,Château de Merande - Domaine Genoux,2020.0,3.7,114,24.95,4.0,2.5,1.0,2.5,vin-de-savoie,"[(14, 'pinot-noir'), (80, 'gamay'), (1232, 'mondeuse-noire')]"
